inchhpc_std;age_std;educ_std;white;male;ideo_std;ptyid7;ptyid;treat;cue;cueg;y;popmin;popmul;popadd
0.703358584032675;-0.2093941503275027;1.507727495002589;1;1;0.2589081559943698;-3;Democrat;Control (Populist Message);Populist Message;Control;1;-0.6013624464852131;0.2664276227637502;-0.023642524447793134
0.16252462536835544;-0.5047468313794338;0.19745872777191265;1;0;-0.07448914979838016;1;Independent;Biden (Populist Message);Populist Message;Biden;1;0.32245091779196194;0.4667129963619159;3.3895891551465254
-1.0453185927636615;-0.8000995124313649;-1.1128100394587637;1;0;-0.07448914979838016;-2;Democrat;Biden (Populist Message);Populist Message;Biden;1;-1.6366595817230107;0.12975936577839955;-1.5861087688596824
-0.28816222775698846;0.38131121177635957;-1.1128100394587637;1;0;;1;Independent;Control (Populist Message);Populist Message;Control;0;-2.2573831106087865;0.11893192338278923;-3.1175426428248816
-0.7568839102756314;0.9720165738802219;-1.1128100394587637;1;0;-0.07448914979838016;1;Independent;Control (Populist Message);Populist Message;Control;1;0.3215402667493915;0.3806020144179258;2.1787202731210207
-0.7568803047519622;0.9720165738802219;0.19745872777191265;1;1;0.9257027675798697;3;Republican;Control (Anti-populist Message);Anti-populist Message;Control;0;-2.2573831106087865;0.11893192338278923;-3.1175426428248816
0.16253003365385923;0.08595853072442845;1.507727495002589;1;1;1.5924973791653694;-3;Democrat;Biden (Populist Message);Populist Message;Biden;1;-4.447855099183747;0.0;-3.0273793696973854
0.16252462536835544;1.562721935984084;-0.4576756558434255;1;1;1.5924973791653694;3;Republican;Control (Anti-populist Message);Anti-populist Message;Control;0;-1.742116773912212;0.092725700196736;-1.1092780809017104
-0.9011012515196464;-0.8000995124313649;-1.1128100394587637;1;0;;-2;Democrat;Trump (Populist Message);Populist Message;Trump;0;-1.440368755734736;0.20430396889213787;-1.1900779810464388
0.10843095375946629;0.08595853072442845;-0.4576756558434255;1;0;-0.07448914979838016;0;Independent;Control (Populist Message);Populist Message;Control;0;-1.7588133482114305;0.11281858816910273;-2.877201859696159
-1.0813702239319132;0.9720165738802219;-1.1128100394587637;1;0;;0;Independent;Control (Populist Message);Populist Message;Control;0;-2.2573831106087865;0.14039585514532252;-2.5282560463884356
-1.1174254606238343;0.38131121177635957;-1.1128100394587637;1;1;-0.07448914979838016;-3;Democrat;Trump (Anti-populist Message);Anti-populist Message;Trump;1;-1.742116773912212;0.12218837473677126;-0.14726656958643258
-0.540552490124105;-1.0954521934832961;-0.4576756558434255;0;0;1.2591000733726196;-2;Democrat;Control (Populist Message);Populist Message;Control;1;-2.815232774595902;0.04184972187203041;-4.933090271584033
-0.540552490124105;0.08595853072442845;0.19745872777191265;1;0;1.5924973791653694;3;Republican;Trump (Populist Message);Populist Message;Trump;1;0.3435908309060976;0.6624692203394129;4.489420195633355
-0.5135056543196604;-0.2093941503275027;1.507727495002589;1;1;1.5924973791653694;-3;Democrat;Trump (Populist Message);Populist Message;Trump;1;-0.4195098095509797;0.24333845904934054;-0.16563788500128185
-0.7298370744711867;-0.2093941503275027;-1.1128100394587637;1;1;-0.07448914979838016;2;Republican;Control (Anti-populist Message);Anti-populist Message;Control;0;-1.5985019712799255;0.1424202431419415;-2.4586615034960206
-0.5766041212923569;0.08595853072442845;1.507727495002589;0;1;1.5924973791653694;-3;Democrat;Trump (Anti-populist Message);Anti-populist Message;Trump;0;-0.2456957655303482;0.37589620551958575;2.015362440896733
-0.27013821493469714;-0.8000995124313649;-0.4576756558434255;1;1;;2;Republican;Control (Anti-populist Message);Anti-populist Message;Control;1;-1.7202083216594604;0.16893548265862354;1.781690757760487
-0.7568839102756314;-0.5047468313794338;0.19745872777191265;1;1;1.5924973791653694;3;Republican;Trump (Anti-populist Message);Anti-populist Message;Trump;0;-0.1886692175921788;0.4171600736646345;3.3132298618277685
0.6132186895410378;-1.0954521934832961;-0.4576756558434255;1;0;-1.4080783729693798;-3;Democrat;Control (Anti-populist Message);Anti-populist Message;Control;1;-0.7198765031439304;0.17645584518063986;-0.8245282829806376
-0.27013821493469714;-0.5047468313794338;-0.4576756558434255;0;0;-0.07448914979838016;-1;Independent;Control (Anti-populist Message);Anti-populist Message;Control;1;-2.2523262582537824;0.06397593189057758;-0.22852374905061845
-0.3242318865435863;-1.0954521934832961;0.19745872777191265;1;0;-0.7412837613838799;-1;Independent;Trump (Anti-populist Message);Anti-populist Message;Trump;0;-0.5933238535716112;0.19911345284562412;-0.7033930749872407
-0.6487290167708758;0.9720165738802219;-0.4576756558434255;1;1;-0.07448914979838016;-2;Democrat;Biden (Anti-populist Message);Anti-populist Message;Biden;1;-0.4190591151782363;0.2947326642850569;0.4398065455960761
-0.7298370744711867;-0.2093941503275027;0.19745872777191265;1;0;0.5923054617871196;2;Republican;Control (Anti-populist Message);Anti-populist Message;Control;1;0.31240734270815645;0.44261091063483604;3.0391090332105533
0.7033531757471712;-0.5047468313794338;-0.4576756558434255;1;0;-0.07448914979838016;3;Republican;Control (Populist Message);Populist Message;Control;1;0.7603837409234532;0.5294213534805298;3.6857219173084244
-0.7298370744711867;-0.8000995124313649;-1.1128100394587637;1;0;-1.0746810671766298;-3;Democrat;Control (Populist Message);Populist Message;Control;1;-1.0779402545070973;0.28647087786281716;0.2129684295564802
0.7033531757471712;1.267369254932153;1.507727495002589;1;0;1.5924973791653694;3;Republican;Trump (Anti-populist Message);Anti-populist Message;Trump;1;-1.7368213938359582;0.21342667699712567;-0.7923658595287177
0.7033531757471712;-0.2093941503275027;0.8525931113872508;0;0;-0.07448914979838016;-2;Democrat;Biden (Populist Message);Populist Message;Biden;1;-0.19780214163341384;0.2663073510327067;0.7323583861755054
1.5145851847443872;-0.8000995124313649;0.8525931113872508;1;0;;-2;Democrat;Biden (Populist Message);Populist Message;Biden;1;0.8445252793024786;0.5456951497413787;3.911663516657042
1.5145960013153947;1.267369254932153;0.8525931113872508;1;1;-0.40788645559113007;-1;Independent;Trump (Anti-populist Message);Anti-populist Message;Trump;1;-0.709832928060125;0.15006724862005918;-1.5447943916152131
0.072390139162222;0.08595853072442845;-0.4576756558434255;1;0;-0.07448914979838016;0;Independent;Trump (Anti-populist Message);Anti-populist Message;Trump;0;-1.7311625477858361;0.10400018730781063;-1.091634902298269
-0.27013821493469714;0.38131121177635957;0.19745872777191265;1;1;;0;Independent;Control (Populist Message);Populist Message;Control;1;0.32245091779196194;0.5;3.8243499972119093
-1.1174254606238343;0.08595853072442845;-1.1128100394587637;1;0;1.2591000733726196;3;Republican;Control (Anti-populist Message);Anti-populist Message;Control;0;0.3215402667493915;0.4312673900556875;2.8744279132311568
-0.7568839102756314;-1.0954521934832961;-0.4576756558434255;0;0;-0.07448914979838016;0;Independent;Control (Populist Message);Populist Message;Control;1;-2.7779448273816154;0.13719711822760805;-2.4402428770752493
0.703358584032675;-0.2093941503275027;1.507727495002589;1;1;1.5924973791653694;-3;Democrat;Biden (Anti-populist Message);Anti-populist Message;Biden;1;-0.26498405517991785;0.40643188522143264;1.860198003640601
;-0.2093941503275027;1.507727495002589;0;1;-1.7414756787621297;-3;Democrat;Biden (Anti-populist Message);Anti-populist Message;Biden;1;0.057518692843647905;0.3953231900883232;1.7640665603924588
-0.28816222775698846;-0.2093941503275027;-0.4576756558434255;1;0;0.5923054617871196;2;Republican;Trump (Anti-populist Message);Anti-populist Message;Trump;0;-0.7216978052290715;0.2509409056274919;1.0559924523351434
0.32477968042460476;-0.2093941503275027;1.507727495002589;0;1;0.5923054617871196;-3;Democrat;Biden (Anti-populist Message);Anti-populist Message;Biden;1;0.3979552396958145;0.44394614893239454;2.387470148066659
